year,rank,name,slug,cuisine,price,price_num,location,city,address,full_address,lat,lng,description,image,url,prev_rank
2024,1,3 Bottled Fish,num-bottled-fish,Vietnamese,$$,2,East Bay,Oakland,"1924 35th Ave., Oakland",,37.782568,-122.21852,"Once only a Stonestown Farmers Market stand, 3 Bottled Fish now has a compact restaurant in Oakland’s Fruitvale neighborhood. Chef and owner Paulette Tran keeps a tight menu, which changes weekly. Bánh mì ($12) are a fixture; Tran might stuff crunchy baguettes with stacks of house-cured sausage or braised chicken. Equally enticing are the recurring crackly salmon belly ($14) accompanied by rice, and the soulful rice porridge ($11) fragrant with ground beef, ginger and green onions. For something lighter, try the bun bo xao ($16), a beef noodle salad with a side of piquant nước chấm. Get takeout or sit indoors, which is styled with greenery and embroidery by local artists.   Also featured on Top Vietnamese Restaurants.",https://s.hdnux.com/photos/0/0/0/25223214/1/rawImage.jpg,https://www.sfchronicle.com/projects/2024/best-sf-restaurants-bay-area/#num-bottled-fish,
2024,2,Aphotic,aphotic,Seafood,$$$$,4,San Francisco,San Francisco,"816 Folsom St., San Francisco",,37.7818,-122.40184,"This is the last time Aphotic will appear on our Top 25 list; it will serve its final sea lettuce croissant on Dec. 21. The seafood-centric restaurant offers 11- ($215) and 16-course ($295) tasting menus in its expansive, shadowy dining room, which makes you feel like Jonah in the belly of a whale. There are also a la carte options available at the bar, which is anchored by a wall of glass separatory funnels — very AP Chem chic — filled with house-made distillates. As you might imagine, the cocktail program is a highlight, but teetotalers are also taken care of with the wildly creative no-ABV “sea level pairing.” Visit while you still can.  Also featured on Top Fine Dining Restaurants and Top San Francisco Restaurants.",https://s.hdnux.com/photos/0/0/0/24398950/1/rawImage.jpg,https://www.sfchronicle.com/projects/2024/best-sf-restaurants-bay-area/#aphotic,
2024,3,Aziza,aziza,Moroccan,$$$,3,San Francisco,San Francisco,"5800 Geary Blvd., San Francisco",,37.78054,-122.48171,"You could describe Aziza as a neighborhood restaurant. On a recent evening, the clientele — a young couple on what seemed to be an awkward second date, a quartet of seniors casually dressed — seemed primed for a low-key Sunday night rather than a dining event. But Aziza started serving high-key delicious Moroccan food back in 1999, and even if you don’t live in the Richmond, it is absolutely worth the trip to the Avenues. Chef Mourad Lahlou’s straightforward classics like the savory-sweet basteeya ($28), confited chicken wrapped in a pastry parcel, will never leave the menu. But roll the dice on more creative dishes like the mussels ($20), drenched in herbs and vadouvan butter and broiled on the half shell. You’ll be amply rewarded. Also featured on Top San Francisco Restaurants.",https://s.hdnux.com/photos/0/0/0/18697069/1/rawImage.jpg,https://www.sfchronicle.com/projects/2024/best-sf-restaurants-bay-area/#aziza,
2024,4,Barberio Osteria,barberio-osteria,Italian,$$$,3,San Francisco,San Francisco,"557 Valencia St., San Francisco",,37.76401,-122.4215,"From the same team behind AltoVino, Barberio Osteria is a new gem offering first-rate handmade pastas and seasonally driven, Italian-inflected dishes. Less than a year old, it goes toe-to-toe with the stalwarts of the local Italian scene. Anchovy fans will flip for the bagna cauda ($16) an infused olive oil dip served warm over a votive candle with a selection of raw and nearly raw veggies. Produce is in capable hands; saucy veal short ribs ($46) were unsurprisingly delicious, but they were nearly upstaged by grilled mini eggplant. For dessert, try the zabaglione, as frothy as hair mousse and escorted, recently, by the season’s first stone fruit. Also featured on Top Italian Restaurants.",https://s.hdnux.com/photos/0/0/0/24301416/1/rawImage.jpg,https://www.sfchronicle.com/projects/2024/best-sf-restaurants-bay-area/#barberio-osteria,
2024,5,Four Kings,four-kings,Cantonese,$$,2,San Francisco,San Francisco,"710 Commercial St., San Francisco",,37.794094,-122.40507,"Is there a German word for being sucked into someone else’s nostalgia so fully that you start to experience it too? Even if you didn’t grow up eating pork chop rice at a casual cha chaan teng in Hong Kong, you might feel a tingle of homesickness midway through the version at Four Kings, which is served with a dynamite tomato gravy thickened with egg ($29). This is not to say the menu is all greatest Cantonese hits; owners Mike Long and Franky Ho, who met while cooking at Mister Jiu’s, would be bored with that. And so there’s mapo spaghetti ($21), reminiscent of Cincinnati chili but with a wallop of spice, and XO escargot ($24). This is food best eaten at the izakaya-style counter, washed down with beer or one of the house shochu highballs. Do a shot with your neighbor and, if you speak Cantonese, sing along to the ’90s Cantopop playlist. Also featured on Top San Francisco Restaurants.",https://s.hdnux.com/photos/0/0/0/25020377/1/rawImage.jpg,https://www.sfchronicle.com/projects/2024/best-sf-restaurants-bay-area/#four-kings,
2024,6,Friends and Family,friends-and-family,American,$$$,3,East Bay,Oakland,"468 25th St., Oakland",,37.814677,-122.266924,"Between the lauded beverage program and community events like Queer Speed Dating, you could conceivably become a regular at Friends and Family, one of North America’s 50 Best Bars, without ever having a meal. But that would be a mistake. Chef Gaby Maeda, who took the reins earlier this year, previously ran the kitchen at State Bird Provisions, and her playful and personal cooking catapults Friends and Family beyond “bar with good snacks” territory. The “les eggs” ($12), a riff on oeufs mayonnaise, are appropriately named for Frenchy eggs served at a quasi-lesbian bar. Save room for Mom’s carrot cake ($9), which owner Blake Cole’s mother has been making since Friends and Family opened its doors in 2020.",https://s.hdnux.com/photos/0/0/0/22574900/1/rawImage.jpg,https://www.sfchronicle.com/projects/2024/best-sf-restaurants-bay-area/#friends-and-family,
2024,7,Joodooboo,joodooboo,Korean,$$,2,East Bay,Oakland,"4201 Market St., Oakland",,37.83255,-122.273742,"Despite debuting two years ago, Joodooboo has emerged as a one-of-a-kind Korean restaurant in Oakland for its focus on the cuisine’s gentler side. Seasonal banchan and handmade tofu are the restaurant’s bread and butter. The former is featured prominently over the farmer’s bowl ($18), a rice and lettuce plate crowned with that week’s offerings — currently corn and zucchini swirled with tofu and marinated eggplants with sungold tomatoes. Or try the best of both worlds with the incredibly crispy, ornate fried dooboo set ($20), a neat collection of side dishes, a soup and fried tofu. For a more substantial meal, check out the fish specials, like broiled ($15) or fried cod ($15), served with a piquant, tangy wine and chile-garlic sauce. Sip on an effervescent spritz ($6) made with fruit puree, like spicy watermelon or salted cucumber. Indoor and outdoor seating available.  Also featured on Top Korean Restaurants.",https://s.hdnux.com/photos/0/0/0/25639446/1/rawImage.jpg,https://www.sfchronicle.com/projects/2024/best-sf-restaurants-bay-area/#joodooboo,
2024,8,Khao Tiew,khao-tiew,Thai,$$,2,San Francisco,San Francisco,"272 Claremont Blvd., San Francisco",,37.74111,-122.465126,"Khao Tiew has made West Portal a destination for Thai cooking with fun, remixed versions of popular dishes. The family-friendly restaurant has a dining room decorated with vintage Thai ads and movie posters. Start off with fried papaya salad ($14), a distant relative to the blooming onion, where the fruit is fried and served with the dressing on the side. Do not miss the short rib fried rice ($20) with cured egg yolk, which radiates with beef tallow richness. The duck panang curry ($26) is aromatic, mellow and creamy, and the branzino ($36) is sweet, tender and juicy. The kaya toast ($15), a pan-seared slice of shokupan topped with pastel green kaya and a scoop of ice cream, is incredible stuff. Do not miss it.",https://s.hdnux.com/photos/0/0/0/26169690/1/rawImage.jpg,https://www.sfchronicle.com/projects/2024/best-sf-restaurants-bay-area/#khao-tiew,
2024,9,La Gastronomia,la-gastronomia,Italian,$$$,3,North Bay,Fairfax,"123 Bolinas Rd., Fairfax",,37.984972,-122.59023,"Tucked away in the hippie Marin County town of Fairfax, La Gastronomia stands out for its rustic Tuscan cooking, with freshly made, rib-sticking pastas. Inside, sleek marble countertops and tables flirt with luxury, and the outdoor street-facing wood benches are ideal for sunny brunch. Dinner kicks off with complimentary focaccia, which is spongy and faintly sweet, like a savory pound cake. Red sauce-lovers should seek out the rich, mildly spicy amatriciana bucatini ($28), while white sauce fans should order the creamy mushroom pappardelle ($30), topped with shaved black truffles. For lunch, opt for the succulent porchetta sandwich ($19) or a build-your-own-pasta ($22), choosing your shape and sauce. Also featured on Top Italian Restaurants.",https://s.hdnux.com/photos/0/0/0/24950011/1/rawImage.jpg,https://www.sfchronicle.com/projects/2024/best-sf-restaurants-bay-area/#la-gastronomia,
2024,10,La Jacaranda Oaxaqueña,la-jacaranda,Oaxacan,$,1,South Bay,San Jose,"1948 Alum Rock Ave., San Jose",,37.354496,-121.849726,"Located in an open-air food wonderland in San Jose, food truck La Jacaranda Oaxaqueña stands out with its tlayudas ($21), large thin tortillas smothered with rich beans and other toppings, which La Jacaranda prepares folded over instead of open-faced. Its edge over the competition is a charcoal-burning grill that imparts the tlayudas with smokiness and turns the tortilla crisp. For lighter fare, try the memelitas ($5), corn saucers topped with avocado leaf-perfumed beans and meat. The plentiful seating is outdoors at La Jacaranda, under tall canopy protection. Also featured on Top Outdoor Dining Restaurants.",https://s.hdnux.com/photos/0/0/0/25420582/1/rawImage.jpg,https://www.sfchronicle.com/projects/2024/best-sf-restaurants-bay-area/#la-jacaranda,
